"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.842026333E0,5.951473846E0,1.076127182E1,1.195369217E1
3.851983333E0,4.973258057E0,1.042072998E1,1.071591614E1
3.861941333E0,3.583248596E0,9.768236847E0,8.648565216E0
3.871899333E0,2.202968903E0,8.782386932E0,7.341782684E0
3.881857333E0,1.424138489E0,7.593858490E0,6.428980865E0
3.891815333E0,1.617536316E0,6.419700165E0,5.472919006E0
3.901773333E0,2.194586334E0,5.392835541E0,4.671335907E0
3.911731333E0,2.672243042E0,4.483027496E0,3.981869659E0
3.921689333E0,2.706671448E0,3.610192566E0,3.279230804E0
3.931647333E0,2.643951874E0,2.633922729E0,2.534230042E0
3.941605833E0,2.669698334E0,1.800006866E0,2.094594269E0
3.951563833E0,3.024909668E0,1.135538635E0,2.106419678E0
3.961521833E0,3.848796387E0,6.339317322E-1,2.599344635E0
3.971479833E0,4.512815552E0,1.422042847E-1,3.544628906E0
3.981437833E0,4.831203461E0,-3.022215271E-1,4.393962708E0
3.991395833E0,4.974006500E0,-6.086343384E-1,4.473597107E0
4.001353833E0,5.128036194E0,-6.484515381E-1,3.744613037E0
4.011311833E0,5.341641998E0,-3.393443298E-1,2.871029663E0
4.021269833E0,5.605842590E0,1.558259583E-1,2.163900146E0
4.031227833E0,5.816454620E0,7.081773376E-1,1.725611572E0
4.041185833E0,6.424340515E0,1.384920044E0,1.755549316E0
4.051142833E0,7.213349762E0,2.160157928E0,2.652633820E0
4.061100833E0,8.211174774E0,2.935545502E0,4.057612152E0
4.071058833E0,9.170080719E0,3.580404510E0,5.990692291E0
4.081016833E0,9.556127930E0,3.984264679E0,7.299570465E0
4.090974833E0,9.236542511E0,4.615951080E0,7.327711945E0
4.100932833E0,8.886420593E0,5.488336945E0,7.065906372E0
4.110890833E0,8.458759918E0,6.694079590E0,7.181166687E0
4.120848833E0,8.279133453E0,8.202792206E0,8.121660919E0
