"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.894964437E1,3.268898010E1,-3.000196075E1,-1.430131531E1
2.895960133E1,3.266481781E1,-3.002649689E1,-1.463508606E1
2.896955933E1,3.279448700E1,-2.988080978E1,-1.484425354E1
2.897951733E1,3.275638962E1,-2.988171005E1,-1.506449890E1
2.898947533E1,3.282519150E1,-2.981304169E1,-1.546733093E1
2.899943333E1,3.277251816E1,-2.968815994E1,-1.579978943E1
2.900939133E1,3.275542068E1,-2.955662155E1,-1.591548157E1
2.901934933E1,3.288668823E1,-2.938792038E1,-1.615766907E1
2.902930633E1,3.274658585E1,-2.939998817E1,-1.625817871E1
2.903926433E1,3.264775467E1,-2.936059952E1,-1.634411621E1
2.904922233E1,3.272494507E1,-2.938837051E1,-1.628839111E1
2.905918033E1,3.271738434E1,-2.942518997E1,-1.633796692E1
2.906913833E1,3.270295334E1,-2.940883827E1,-1.604232788E1
2.907909633E1,3.286641693E1,-2.957227898E1,-1.591297913E1
2.908905433E1,3.286770630E1,-2.966636848E1,-1.522579956E1
2.909901133E1,3.290172577E1,-2.978167725E1,-1.476118469E1
2.910896933E1,3.295535660E1,-3.004595566E1,-1.424905396E1
2.911892733E1,3.314921570E1,-3.015004349E1,-1.358932495E1
2.912888533E1,3.317839050E1,-3.051141739E1,-1.311834717E1
2.913884333E1,3.298134995E1,-3.090003586E1,-1.254220581E1
2.914880133E1,3.284832382E1,-3.133906174E1,-1.199856567E1
2.915875933E1,3.263595200E1,-3.191074753E1,-1.097529602E1
2.916871633E1,3.224768829E1,-3.270616913E1,-9.789291382E0
2.917867433E1,3.165480804E1,-3.357503510E1,-8.688354492E0
2.918863233E1,3.090707397E1,-3.430210114E1,-7.224731445E0
2.919859033E1,2.982239151E1,-3.548327255E1,-6.485244751E0
2.920854833E1,2.870726013E1,-3.644141769E1,-6.053298950E0
2.921850633E1,2.746506882E1,-3.726750183E1,-6.001068115E0
2.922846433E1,2.623067474E1,-3.796372604E1,-6.182861328E0
2.923842133E1,2.527603912E1,-3.864116669E1,-6.574096680E0
2.924837933E1,2.445006943E1,-3.914217377E1,-6.920593262E0
2.925833733E1,2.400040436E1,-3.934259033E1,-7.556564331E0
2.926829533E1,2.352256775E1,-3.937943268E1,-8.070129395E0
2.927825333E1,2.340334702E1,-3.941168594E1,-8.688110352E0
2.928821133E1,2.344509888E1,-3.925056458E1,-9.406936646E0
2.929816933E1,2.349123383E1,-3.894633865E1,-9.788131714E0
2.930812633E1,2.364940643E1,-3.870755005E1,-1.054028320E1
2.931808433E1,2.390964508E1,-3.853035355E1,-1.141174316E1
2.932804233E1,2.404189301E1,-3.826058578E1,-1.195999146E1
2.933800033E1,2.402017975E1,-3.798475647E1,-1.287280273E1
2.934795833E1,2.382822037E1,-3.772346497E1,-1.358483887E1
2.935791633E1,2.369061661E1,-3.776928329E1,-1.426673889E1
2.936787433E1,2.313462448E1,-3.773824310E1,-1.489263916E1
2.937783133E1,2.278131485E1,-3.798923111E1,-1.528021240E1
2.938778933E1,2.224040985E1,-3.822603226E1,-1.531849670E1
2.939774733E1,2.174991989E1,-3.842564392E1,-1.520057678E1
2.940770533E1,2.109169388E1,-3.869176102E1,-1.507540894E1
2.941766333E1,2.057972717E1,-3.905430984E1,-1.490827942E1
2.942762133E1,2.030671692E1,-3.916281128E1,-1.491522217E1
2.943757933E1,1.999536896E1,-3.919186783E1,-1.529885864E1
2.944753633E1,1.980022812E1,-3.904891968E1,-1.574208069E1
2.945749433E1,2.014998627E1,-3.903014374E1,-1.604040527E1
2.946745233E1,2.069064713E1,-3.862234879E1,-1.583671570E1
2.947741033E1,2.145928192E1,-3.830523682E1,-1.596424866E1
2.948736833E1,2.231567764E1,-3.796992111E1,-1.571705627E1
2.949732633E1,2.309857941E1,-3.749803543E1,-1.553814697E1
2.950728433E1,2.412578964E1,-3.706913376E1,-1.518121338E1
2.951724133E1,2.490186310E1,-3.664001846E1,-1.485716248E1
2.952719933E1,2.559829330E1,-3.622626877E1,-1.493472290E1
