"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.885987375E1,-2.187500000E0,-3.150000000E1,-4.225000000E1
5.886987375E1,-2.250000000E0,-3.137500000E1,-4.231250000E1
5.888987219E1,-2.375000000E0,-3.112500000E1,-4.231250000E1
5.889987219E1,-2.312500000E0,-3.100000000E1,-4.237500000E1
5.890987219E1,-2.500000000E0,-3.112500000E1,-4.237500000E1
5.891987219E1,-2.625000000E0,-3.087500000E1,-4.237500000E1
5.892987375E1,-2.562500000E0,-3.087500000E1,-4.268750000E1
5.893987375E1,-2.562500000E0,-3.100000000E1,-4.262500000E1
5.895987219E1,-2.625000000E0,-3.100000000E1,-4.268750000E1
5.896987219E1,-2.875000000E0,-3.087500000E1,-4.262500000E1
5.897987219E1,-2.750000000E0,-3.093750000E1,-4.281250000E1
5.898987219E1,-2.750000000E0,-3.081250000E1,-4.287500000E1
5.899987375E1,-2.750000000E0,-3.068750000E1,-4.287500000E1
5.900987375E1,-2.875000000E0,-3.093750000E1,-4.293750000E1
5.902987219E1,-3.125000000E0,-3.093750000E1,-4.293750000E1
5.903987219E1,-3.125000000E0,-3.087500000E1,-4.293750000E1
5.904987219E1,-3.125000000E0,-3.093750000E1,-4.281250000E1
5.905987219E1,-2.875000000E0,-3.106250000E1,-4.287500000E1
5.906987375E1,-3.000000000E0,-3.106250000E1,-4.268750000E1
5.907987375E1,-2.937500000E0,-3.131250000E1,-4.256250000E1
5.908987375E1,-2.812500000E0,-3.150000000E1,-4.237500000E1
5.910987375E1,-2.562500000E0,-3.162500000E1,-4.225000000E1
5.912988781E1,-2.062500000E0,-3.187500000E1,-4.231250000E1
5.914987375E1,-2.125000000E0,-3.212500000E1,-4.225000000E1
5.916987219E1,-2.125000000E0,-3.206250000E1,-4.231250000E1
5.917987375E1,-2.062500000E0,-3.187500000E1,-4.231250000E1
5.919987219E1,-1.812500000E0,-3.206250000E1,-4.231250000E1
5.920987375E1,-1.687500000E0,-3.212500000E1,-4.243750000E1
5.921987375E1,-1.687500000E0,-3.206250000E1,-4.231250000E1
5.923987219E1,-1.625000000E0,-3.206250000E1,-4.231250000E1
5.924987219E1,-1.437500000E0,-3.206250000E1,-4.231250000E1
5.925987375E1,-1.562500000E0,-3.206250000E1,-4.237500000E1
5.927987375E1,-1.687500000E0,-3.218750000E1,-4.237500000E1
5.928987375E1,-1.875000000E0,-3.193750000E1,-4.243750000E1
5.929987375E1,-2.062500000E0,-3.181250000E1,-4.218750000E1
5.930987375E1,-1.812500000E0,-3.168750000E1,-4.225000000E1
5.932987375E1,-1.625000000E0,-3.156250000E1,-4.206250000E1
5.934987375E1,-1.687500000E0,-3.137500000E1,-4.200000000E1
5.935987375E1,-1.687500000E0,-3.137500000E1,-4.193750000E1
5.936987375E1,-1.687500000E0,-3.125000000E1,-4.193750000E1
5.938987219E1,-1.750000000E0,-3.131250000E1,-4.187500000E1
5.939987375E1,-1.937500000E0,-3.131250000E1,-4.175000000E1
5.941987219E1,-2.062500000E0,-3.106250000E1,-4.181250000E1
5.942987375E1,-1.875000000E0,-3.087500000E1,-4.181250000E1
5.943987375E1,-2.062500000E0,-3.081250000E1,-4.156250000E1
5.945987219E1,-1.875000000E0,-3.043750000E1,-4.168750000E1
5.946987219E1,-2.062500000E0,-3.043750000E1,-4.150000000E1
5.947987219E1,-2.000000000E0,-3.050000000E1,-4.168750000E1
5.948987219E1,-2.062500000E0,-3.056250000E1,-4.187500000E1
5.949987375E1,-2.125000000E0,-3.068750000E1,-4.181250000E1
5.950987375E1,-2.312500000E0,-3.056250000E1,-4.193750000E1
5.952987219E1,-2.625000000E0,-3.068750000E1,-4.187500000E1
5.953987219E1,-2.687500000E0,-3.106250000E1,-4.200000000E1
5.954987219E1,-2.750000000E0,-3.125000000E1,-4.193750000E1
5.955987219E1,-2.625000000E0,-3.125000000E1,-4.200000000E1
