"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.215261583E0,1.671841368E-2,1.145966426E-1,3.165817261E-1
3.225217583E0,4.752299748E-3,6.798706204E-2,2.263109833E-1
3.235173583E0,9.985891730E-2,9.438482672E-2,1.148664057E-1
3.245129583E0,2.650856972E-1,1.606586576E-1,3.718013316E-2
3.255085583E0,4.408201277E-1,2.424421459E-1,7.467836887E-2
3.265041583E0,5.556358695E-1,2.775721848E-1,2.180555016E-1
3.274997583E0,5.579820871E-1,2.195960879E-1,3.955315650E-1
3.284953583E0,4.179732800E-1,1.041927934E-1,5.159724951E-1
3.294909583E0,1.383783817E-1,-6.986570358E-2,5.576995611E-1
3.304864583E0,-2.641365826E-1,-3.039415777E-1,5.057764649E-1
3.314820583E0,-7.236196399E-1,-4.789957702E-1,3.235239983E-1
3.324776583E0,-1.106375337E0,-4.702140093E-1,4.116367176E-2
3.334732583E0,-1.371716022E0,-3.015177548E-1,-2.644020319E-1
3.344688583E0,-1.528204679E0,-6.296323240E-2,-5.189583898E-1
3.354644583E0,-1.574405551E0,1.820704490E-1,-6.467987895E-1
3.364600583E0,-1.509218812E0,3.333334923E-1,-6.045093536E-1
3.374556583E0,-1.306928277E0,4.657204449E-1,-4.211129248E-1
3.384511583E0,-9.963560104E-1,5.224865079E-1,-1.342862248E-1
3.394467583E0,-6.570263505E-1,5.016492009E-1,1.831608564E-1
3.404423583E0,-3.533490002E-1,3.921861053E-1,4.328940213E-1
3.414379583E0,-9.206626564E-2,2.262541056E-1,5.779864788E-1
3.424335583E0,1.374316365E-1,7.651787996E-2,6.354007721E-1
3.434291583E0,3.101641238E-1,-6.787732989E-2,6.295049191E-1
3.444247583E0,4.314441979E-1,-2.005373687E-1,5.745375156E-1
3.454203583E0,5.332066417E-1,-2.538174689E-1,5.156598687E-1
3.464159583E0,5.848366022E-1,-2.791920602E-1,4.913329780E-1
3.474114583E0,5.721045136E-1,-3.014123142E-1,4.991858304E-1
3.484070583E0,4.919215143E-1,-3.302985430E-1,5.112688541E-1
3.494026583E0,3.569158912E-1,-3.765160143E-1,4.921223223E-1
3.503982583E0,2.198938429E-1,-4.342669249E-1,4.211722612E-1
3.513938583E0,1.353500634E-1,-4.518244565E-1,3.042214215E-1
3.523894583E0,1.190219596E-1,-4.122520089E-1,1.500899047E-1
3.533850583E0,1.562945992E-1,-3.194305897E-1,4.729695618E-3
3.543806583E0,2.123613358E-1,-1.969012022E-1,-7.947306335E-2
3.553762583E0,2.010915130E-1,-6.111066043E-2,-1.086686403E-1
3.563718583E0,1.058960184E-1,6.678578258E-2,-1.143611521E-1
3.573673583E0,-2.654545754E-2,1.610184312E-1,-1.073517799E-1
3.583629583E0,-1.323509812E-1,1.840345412E-1,-1.185474470E-1
3.593585583E0,-1.923148781E-1,1.272507608E-1,-1.664367616E-1
3.603541583E0,-1.709550023E-1,5.463473499E-4,-2.478285432E-1
3.613497583E0,-7.295010984E-2,-1.753347516E-1,-3.512907922E-1
3.623453583E0,8.205758035E-2,-3.687047660E-1,-4.577104449E-1
3.633409583E0,2.801837921E-1,-5.753000379E-1,-5.133357048E-1
3.643365583E0,5.111871958E-1,-7.300277948E-1,-4.956437945E-1
3.653320583E0,7.283541560E-1,-8.322300315E-1,-4.330318570E-1
3.663276583E0,9.086762667E-1,-7.777505517E-1,-3.087325394E-1
3.673232583E0,1.033672810E0,-5.913867354E-1,-1.094920784E-1
3.683188583E0,1.063728690E0,-3.333341479E-1,8.361826092E-2
3.693144333E0,8.974348307E-1,-2.269745767E-1,1.808483154E-1
3.703100333E0,4.377526939E-1,-4.219323397E-1,1.400484145E-1
3.713056333E0,-2.003231049E-1,-6.708315015E-1,-7.770879567E-2
3.723012333E0,-7.246294618E-1,-6.449474692E-1,-4.116236567E-1
3.732968333E0,-9.165219069E-1,-2.071766555E-1,-6.665163636E-1
3.742923333E0,-7.372245789E-1,4.464328587E-1,-7.174104452E-1
3.752879333E0,-3.299759924E-1,1.018878460E0,-5.448789597E-1
