"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.134714058E1,5.030187988E1,7.294391632E0,-8.185089111E0
8.135709558E1,5.040529633E1,7.439865112E0,-7.985595703E0
8.136705158E1,5.052780151E1,7.678279877E0,-8.017768860E0
8.137700658E1,5.048446655E1,7.768962860E0,-7.923271179E0
8.138696258E1,5.053578186E1,7.800338745E0,-8.033836365E0
8.139691758E1,5.064089203E1,7.741641998E0,-7.974594116E0
8.140687358E1,5.077041626E1,7.592025757E0,-7.984519958E0
8.141682858E1,5.069290924E1,7.606227875E0,-7.873184204E0
8.142678458E1,5.061735535E1,7.524032593E0,-7.857307434E0
8.143673958E1,5.080102539E1,7.458034515E0,-8.105964661E0
8.144669558E1,5.077542877E1,7.526939392E0,-8.023567200E0
8.145665058E1,5.086873627E1,7.589855194E0,-7.988670349E0
8.146660658E1,5.088719177E1,7.542884827E0,-7.680351257E0
8.147656158E1,5.097238922E1,7.613155365E0,-7.721702576E0
8.148651758E1,5.104053497E1,7.639213562E0,-7.935653687E0
8.149647258E1,5.092195129E1,7.690795898E0,-7.843933105E0
8.150642858E1,5.097229767E1,7.837257385E0,-8.172904968E0
8.151638358E1,5.096179962E1,7.886974335E0,-8.110054016E0
8.152633958E1,5.101903534E1,8.099117279E0,-8.135551453E0
8.153629458E1,5.100057220E1,8.363471985E0,-7.945808411E0
8.154625058E1,5.108263397E1,8.566875458E0,-7.989730835E0
8.155620558E1,5.106254578E1,8.710182190E0,-7.895309448E0
8.156616158E1,5.096929169E1,8.791950226E0,-7.825027466E0
8.157611658E1,5.082572937E1,9.011924744E0,-7.812881470E0
8.158607258E1,5.095838165E1,9.047580719E0,-7.915985107E0
8.159602758E1,5.088814545E1,8.869941711E0,-8.057312012E0
8.160598358E1,5.097247314E1,8.878135681E0,-8.326820374E0
8.161593858E1,5.093236542E1,8.914131165E0,-8.478500366E0
8.162589458E1,5.087429047E1,8.710041046E0,-9.018959045E0
8.163584958E1,5.094655609E1,8.794582367E0,-9.087699890E0
8.164580558E1,5.098285675E1,8.641040802E0,-9.197700500E0
8.165576058E1,5.106606293E1,8.742809296E0,-9.287612915E0
8.166571658E1,5.105741119E1,8.791244507E0,-9.204025269E0
8.167567158E1,5.121481323E1,8.974239349E0,-9.076423645E0
8.168562758E1,5.126746368E1,9.252140045E0,-9.054023743E0
8.169558258E1,5.123162842E1,9.473690033E0,-9.218711853E0
8.170553858E1,5.111873627E1,9.748764038E0,-9.245216370E0
8.171549358E1,5.125621033E1,1.004636765E1,-9.132614136E0
8.172544958E1,5.116818237E1,1.024997711E1,-8.972152710E0
8.173540458E1,5.131555176E1,1.027442169E1,-8.922592163E0
8.174536058E1,5.151782227E1,1.039041138E1,-8.689002991E0
8.175531558E1,5.160138702E1,1.050055313E1,-8.770149231E0
8.176527121E1,5.160952759E1,1.044686508E1,-8.736351013E0
8.177522621E1,5.186428833E1,1.020299530E1,-8.930473328E0
8.178518221E1,5.194210052E1,1.008208466E1,-8.977584839E0
8.179513721E1,5.201764679E1,1.009348679E1,-9.232925415E0
8.180509321E1,5.207946777E1,1.025478363E1,-9.203445435E0
8.181504821E1,5.225319672E1,1.033756638E1,-9.085014343E0
8.182500421E1,5.238098145E1,1.056480789E1,-9.149475098E0
